"Date","GDP"
"1947-01-01","243.16399999999999"
"1947-04-01","245.96799999999999"
"1947-07-01","249.58500000000001"
"1947-10-01","259.745"
"1948-01-01","265.74200000000002"
"1948-04-01","272.56700000000001"
"1948-07-01","279.19600000000003"
"1948-10-01","280.36599999999999"
"1949-01-01","275.03399999999999"
"1949-04-01","271.351"
"1949-07-01","272.88900000000001"
"1949-10-01","270.62700000000001"
"1950-01-01","280.82799999999997"
"1950-04-01","290.38299999999998"
"1950-07-01","308.15300000000002"
"1950-10-01","319.94499999999999"
"1951-01-01","336"
"1951-04-01","344.08999999999997"
"1951-07-01","351.38499999999999"
"1951-10-01","356.178"
"1952-01-01","359.81999999999999"
"1952-04-01","361.02999999999997"
"1952-07-01","367.70100000000002"
"1952-10-01","380.81200000000001"
"1953-01-01","387.98000000000002"
"1953-04-01","391.74900000000002"
"1953-07-01","391.17099999999999"
"1953-10-01","385.97000000000003"
"1954-01-01","385.34500000000003"
"1954-04-01","386.12099999999998"
"1954-07-01","390.99599999999998"
"1954-10-01","399.73399999999998"
"1955-01-01","413.07299999999998"
"1955-04-01","421.53199999999998"
"1955-07-01","430.221"
"1955-10-01","437.09199999999998"
"1956-01-01","439.74599999999998"
"1956-04-01","446.00999999999999"
"1956-07-01","451.19099999999997"
"1956-10-01","460.46300000000002"
"1957-01-01","469.779"
"1957-04-01","472.02499999999998"
"1957-07-01","479.49000000000001"
"1957-10-01","474.86399999999998"
"1958-01-01","467.54000000000002"
"1958-04-01","471.97800000000001"
"1958-07-01","485.84100000000001"
"1958-10-01","499.55500000000001"
"1959-01-01","510.32999999999998"
"1959-04-01","522.65300000000002"
"1959-07-01","525.03399999999999"
"1959-10-01","528.60000000000002"
"1960-01-01","542.64800000000002"
"1960-04-01","541.08000000000004"
"1960-07-01","545.60400000000004"
"1960-10-01","540.197"
"1961-01-01","545.01800000000003"
"1961-04-01","555.54499999999996"
"1961-07-01","567.66399999999999"
"1961-10-01","580.61199999999997"
"1962-01-01","594.01300000000003"
"1962-04-01","600.36599999999999"
"1962-07-01","609.02700000000004"
"1962-10-01","612.27999999999997"
"1963-01-01","621.67200000000003"
"1963-04-01","629.75199999999995"
"1963-07-01","644.44399999999996"
"1963-10-01","653.93799999999999"
"1964-01-01","669.822"
"1964-04-01","678.67399999999998"
"1964-07-01","692.03099999999995"
"1964-10-01","697.31899999999996"
"1965-01-01","717.78999999999996"
"1965-04-01","730.19100000000003"
"1965-07-01","749.32299999999998"
"1965-10-01","771.85699999999997"
"1966-01-01","795.73400000000004"
"1966-04-01","804.98099999999999"
"1966-07-01","819.63800000000003"
"1966-10-01","833.30200000000002"
"1967-01-01","844.16999999999996"
"1967-04-01","848.98299999999995"
"1967-07-01","865.23299999999995"
"1967-10-01","881.43899999999996"
"1968-01-01","909.38699999999994"
"1968-04-01","934.34400000000005"
"1968-07-01","950.82500000000005"
"1968-10-01","968.02999999999997"
"1969-01-01","993.33699999999999"
"1969-04-01","1009.02"
"1969-07-01","1029.9559999999999"
"1969-10-01","1038.1469999999999"
"1970-01-01","1051.2"
"1970-04-01","1067.375"
"1970-07-01","1086.059"
"1970-10-01","1088.6079999999999"
"1971-01-01","1135.1559999999999"
"1971-04-01","1156.271"
"1971-07-01","1177.675"
"1971-10-01","1190.297"
"1972-01-01","1230.6089999999999"
"1972-04-01","1266.3689999999999"
"1972-07-01","1290.566"
"1972-10-01","1328.904"
"1973-01-01","1377.49"
"1973-04-01","1413.8869999999999"
"1973-07-01","1433.838"
"1973-10-01","1476.289"
"1974-01-01","1491.2090000000001"
"1974-04-01","1530.056"
"1974-07-01","1560.0260000000001"
"1974-10-01","1599.6790000000001"
"1975-01-01","1616.116"
"1975-04-01","1651.8530000000001"
"1975-07-01","1709.8199999999999"
"1975-10-01","1761.8309999999999"
"1976-01-01","1820.4870000000001"
"1976-04-01","1852.3320000000001"
"1976-07-01","1886.558"
"1976-10-01","1934.2729999999999"
"1977-01-01","1988.6479999999999"
"1977-04-01","2055.9090000000001"
"1977-07-01","2118.473"
"1977-10-01","2164.27"
"1978-01-01","2202.7600000000002"
"1978-04-01","2331.6329999999998"
"1978-07-01","2395.0529999999999"
"1978-10-01","2476.9490000000001"
"1979-01-01","2526.6100000000001"
"1979-04-01","2591.2469999999998"
"1979-07-01","2667.5650000000001"
"1979-10-01","2723.8829999999998"
"1980-01-01","2789.8420000000001"
"1980-04-01","2797.3519999999999"
"1980-07-01","2856.4830000000002"
"1980-10-01","2985.5569999999998"
"1981-01-01","3124.2060000000001"
"1981-04-01","3162.5320000000002"
"1981-07-01","3260.6089999999999"
"1981-10-01","3280.8180000000002"
"1982-01-01","3274.3020000000001"
"1982-04-01","3331.9720000000002"
"1982-07-01","3366.3220000000001"
"1982-10-01","3402.5610000000001"
"1983-01-01","3473.413"
"1983-04-01","3578.848"
"1983-07-01","3689.1790000000001"
"1983-10-01","3794.7060000000001"
"1984-01-01","3908.0540000000001"
"1984-04-01","4009.6010000000001"
"1984-07-01","4084.25"
"1984-10-01","4148.5510000000004"
"1985-01-01","4230.1679999999997"
"1985-04-01","4294.8869999999997"
"1985-07-01","4386.7730000000001"
"1985-10-01","4444.0940000000001"
"1986-01-01","4507.8940000000002"
"1986-04-01","4545.3400000000001"
"1986-07-01","4607.6689999999999"
"1986-10-01","4657.6270000000004"
"1987-01-01","4722.1559999999999"
"1987-04-01","4806.1599999999999"
"1987-07-01","4884.5550000000003"
"1987-10-01","5007.9939999999997"
"1988-01-01","5073.3720000000003"
"1988-04-01","5190.0360000000001"
"1988-07-01","5282.835"
"1988-10-01","5399.509"
"1989-01-01","5511.2529999999997"
"1989-04-01","5612.4629999999997"
"1989-07-01","5695.3649999999998"
"1989-10-01","5747.2370000000001"
"1990-01-01","5872.701"
"1990-04-01","5960.0280000000002"
"1990-07-01","6015.116"
"1990-10-01","6004.7330000000002"
"1991-01-01","6035.1779999999999"
"1991-04-01","6126.8620000000001"
"1991-07-01","6205.9369999999999"
"1991-10-01","6264.54"
"1992-01-01","6363.1019999999999"
"1992-04-01","6470.7629999999999"
"1992-07-01","6566.6409999999996"
"1992-10-01","6680.8029999999999"
"1993-01-01","6729.4589999999998"
"1993-04-01","6808.9390000000003"
"1993-07-01","6882.098"
"1993-10-01","7013.7380000000003"
"1994-01-01","7115.652"
"1994-04-01","7246.9309999999996"
"1994-07-01","7331.0749999999998"
"1994-10-01","7455.2879999999996"
"1995-01-01","7522.2889999999998"
"1995-04-01","7580.9970000000003"
"1995-07-01","7683.125"
"1995-10-01","7772.5860000000002"
"1996-01-01","7868.4679999999998"
"1996-04-01","8032.8400000000001"
"1996-07-01","8131.4080000000004"
"1996-10-01","8259.7710000000006"
"1997-01-01","8362.6550000000007"
"1997-04-01","8518.8250000000007"
"1997-07-01","8662.8230000000003"
"1997-10-01","8765.9069999999992"
"1998-01-01","8866.4799999999996"
"1998-04-01","8969.6990000000005"
"1998-07-01","9121.0969999999998"
"1998-10-01","9293.991"
"1999-01-01","9411.6820000000007"
"1999-04-01","9526.2099999999991"
"1999-07-01","9686.6260000000002"
"1999-10-01","9900.1689999999999"
"2000-01-01","10002.179"
"2000-04-01","10247.719999999999"
"2000-07-01","10318.165000000001"
"2000-10-01","10435.744000000001"
"2001-01-01","10470.231"
"2001-04-01","10599"
"2001-07-01","10598.02"
"2001-10-01","10660.465"
"2002-01-01","10783.5"
"2002-04-01","10887.459999999999"
"2002-07-01","10984.040000000001"
"2002-10-01","11061.433000000001"
"2003-01-01","11174.129000000001"
"2003-04-01","11312.766"
"2003-07-01","11566.669"
"2003-10-01","11772.234"
"2004-01-01","11923.447"
"2004-04-01","12112.815000000001"
"2004-07-01","12305.307000000001"
"2004-10-01","12527.214"
"2005-01-01","12767.286"
"2005-04-01","12922.656000000001"
"2005-07-01","13142.642"
"2005-10-01","13324.204"
"2006-01-01","13599.16"
"2006-04-01","13753.424000000001"
"2006-07-01","13870.188"
"2006-10-01","14039.559999999999"
"2007-01-01","14215.651"
"2007-04-01","14402.082"
"2007-07-01","14564.117"
"2007-10-01","14715.058000000001"
"2008-01-01","14706.538"
"2008-04-01","14865.700999999999"
"2008-07-01","14898.999"
"2008-10-01","14608.209000000001"
"2009-01-01","14430.902"
"2009-04-01","14381.236000000001"
"2009-07-01","14448.882"
"2009-10-01","14651.249"
"2010-01-01","14764.610000000001"
"2010-04-01","14980.192999999999"
"2010-07-01","15141.607"
"2010-10-01","15309.474"
"2011-01-01","15351.448"
"2011-04-01","15557.539000000001"
"2011-07-01","15647.68"
"2011-10-01","15842.259"
"2012-01-01","16068.805"
"2012-04-01","16207.115"
"2012-07-01","16319.540999999999"
"2012-10-01","16420.419000000002"
"2013-01-01","16648.188999999998"
"2013-04-01","16728.687000000002"
"2013-07-01","16953.838"
"2013-10-01","17192.019"
"2014-01-01","17197.738000000001"
"2014-04-01","17518.508000000002"
"2014-07-01","17804.227999999999"
"2014-10-01","17912.079000000002"
"2015-01-01","18063.528999999999"
"2015-04-01","18279.784"
"2015-07-01","18401.626"
"2015-10-01","18435.136999999999"
"2016-01-01","18525.933000000001"
"2016-04-01","18711.702000000001"
"2016-07-01","18892.638999999999"
"2016-10-01","19089.379000000001"
"2017-01-01","19280.083999999999"
"2017-04-01","19438.643"
"2017-07-01","19692.595000000001"
"2017-10-01","20037.088"
"2018-01-01","20328.553"
"2018-04-01","20580.912"
"2018-07-01","20798.73"
"2018-10-01","20917.866999999998"
"2019-01-01","21104.133000000002"
"2019-04-01","21384.775000000001"
"2019-07-01","21694.281999999999"
"2019-10-01","21902.389999999999"
"2020-01-01","21706.512999999999"
"2020-04-01","19913.143"
"2020-07-01","21647.639999999999"
"2020-10-01","22024.502"
"2021-01-01","22600.185000000001"
"2021-04-01","23292.362000000001"
"2021-07-01","23828.973000000002"
"2021-10-01","24654.602999999999"
"2022-01-01","25029.116000000002"
"2022-04-01","25544.273000000001"
"2022-07-01","25994.638999999999"
"2022-10-01","26408.404999999999"
"2023-01-01","26813.600999999999"
"2023-04-01","27063.011999999999"
"2023-07-01","27610.128000000001"
"2023-10-01","27956.998"
"2024-01-01","28269.173999999999"
"2024-04-01","28629.152999999998"
