"Date","PCEC"
"1947-03-31","156.161"
"1947-07-01","160.03100000000001"
"1947-10-01","163.54300000000001"
"1947-12-31","167.672"
"1948-03-31","170.37200000000001"
"1948-07-01","174.142"
"1948-10-01","177.072"
"1948-12-31","177.928"
"1949-03-31","176.83099999999999"
"1949-07-01","178.446"
"1949-10-01","177.80600000000001"
"1949-12-31","180.249"
"1950-03-31","182.91999999999999"
"1950-07-01","186.80600000000001"
"1950-10-01","200.505"
"1950-12-31","197.946"
"1951-03-31","209.20699999999999"
"1951-07-01","204.94200000000001"
"1951-10-01","207.61600000000001"
"1951-12-31","211.59"
"1952-03-31","212.96899999999999"
"1952-07-01","217.08799999999999"
"1952-10-01","219.553"
"1952-12-31","227.66999999999999"
"1953-03-31","231.22"
"1953-07-01","232.96000000000001"
"1953-10-01","233.666"
"1953-12-31","233.11199999999999"
"1954-03-31","235.154"
"1954-07-01","237.88499999999999"
"1954-10-01","240.303"
"1954-12-31","245.09299999999999"
"1955-03-31","251.398"
"1955-07-01","256.46600000000001"
"1955-10-01","260.65100000000001"
"1955-12-31","264.63900000000001"
"1956-03-31","266.15600000000001"
"1956-07-01","268.834"
"1956-10-01","272.07499999999999"
"1956-12-31","277.44499999999999"
"1957-03-31","281.88900000000001"
"1957-07-01","284.17599999999999"
"1957-10-01","288.75"
"1957-12-31","290.36799999999999"
"1958-03-31","289.88799999999998"
"1958-07-01","292.81900000000002"
"1958-10-01","297.89299999999997"
"1958-12-31","301.82299999999998"
"1959-03-31","309.44900000000001"
"1959-07-01","315.505"
"1959-10-01","320.72500000000002"
"1959-12-31","322.84199999999998"
"1960-03-31","326.36399999999998"
"1960-07-01","332.20800000000003"
"1960-10-01","332.12599999999998"
"1960-12-31","334.024"
"1961-03-31","334.51999999999998"
"1961-07-01","339.45499999999998"
"1961-10-01","342.33199999999999"
"1961-12-31","349.59300000000002"
"1962-03-31","354.822"
"1962-07-01","360.45800000000003"
"1962-10-01","364.33300000000003"
"1962-12-31","370.61799999999999"
"1963-03-31","374.28300000000002"
"1963-07-01","378.41300000000001"
"1963-10-01","385.39400000000001"
"1963-12-31","390.04899999999998"
"1964-03-31","399.58100000000002"
"1964-07-01","407.536"
"1964-10-01","416.42200000000003"
"1964-12-31","418.98700000000002"
"1965-03-31","429.71100000000001"
"1965-07-01","436.642"
"1965-10-01","445.80399999999997"
"1965-12-31","459.73599999999999"
"1966-03-31","470.13600000000002"
"1966-07-01","475.18900000000002"
"1966-10-01","484.291"
"1966-12-31","490.06"
"1967-03-31","494.31700000000001"
"1967-07-01","503.45800000000003"
"1967-10-01","510.71699999999998"
"1967-12-31","518.24900000000002"
"1968-03-31","536.29700000000003"
"1968-07-01","550.01400000000001"
"1968-10-01","566.12199999999996"
"1968-12-31","574.97699999999998"
"1969-03-31","587.005"
"1969-07-01","598.33699999999999"
"1969-10-01","608.62599999999998"
"1969-12-31","620.58600000000001"
"1970-03-31","631.68499999999995"
"1970-07-01","641.57000000000005"
"1970-10-01","653.48199999999997"
"1970-12-31","660.16099999999994"
"1971-03-31","679.18600000000004"
"1971-07-01","693.22500000000002"
"1971-10-01","705.59900000000005"
"1971-12-31","721.73900000000003"
"1972-03-31","738.94799999999998"
"1972-07-01","757.36400000000003"
"1972-10-01","775.79899999999998"
"1972-12-31","800.50199999999995"
"1973-03-31","825.00699999999995"
"1973-07-01","840.52700000000004"
"1973-10-01","858.87699999999995"
"1973-12-31","873.88699999999994"
"1974-03-31","891.86800000000005"
"1974-07-01","920.42200000000003"
"1974-10-01","949.27599999999995"
"1974-12-31","959.07899999999995"
"1975-03-31","985.19000000000005"
"1975-07-01","1013.582"
"1975-10-01","1047.192"
"1975-12-31","1076.223"
"1976-03-31","1109.9079999999999"
"1976-07-01","1129.54"
"1976-10-01","1158.806"
"1976-12-31","1192.4079999999999"
"1977-03-31","1228.212"
"1977-07-01","1255.98"
"1977-10-01","1286.905"
"1977-12-31","1324.8040000000001"
"1978-03-31","1354.0530000000001"
"1978-07-01","1411.385"
"1978-10-01","1442.2170000000001"
"1978-12-31","1481.354"
"1979-03-31","1517.1410000000001"
"1979-07-01","1557.635"
"1979-10-01","1611.867"
"1979-12-31","1655.0350000000001"
"1980-03-31","1702.3019999999999"
"1980-07-01","1704.723"
"1980-10-01","1763.771"
"1980-12-31","1831.874"
"1981-03-31","1885.7339999999999"
"1981-07-01","1917.5239999999999"
"1981-10-01","1958.0989999999999"
"1981-12-31","1974.4469999999999"
"1982-03-31","2014.155"
"1982-07-01","2039.645"
"1982-10-01","2085.6709999999998"
"1982-12-31","2145.5540000000001"
"1983-03-31","2184.5889999999999"
"1983-07-01","2249.4380000000001"
"1983-10-01","2319.895"
"1983-12-31","2372.4960000000001"
"1984-03-31","2418.165"
"1984-07-01","2475.8760000000002"
"1984-10-01","2513.5230000000001"
"1984-12-31","2561.797"
"1985-03-31","2636.0079999999998"
"1985-07-01","2681.7640000000001"
"1985-10-01","2754.1480000000001"
"1985-12-31","2779.4000000000001"
"1986-03-31","2823.6480000000001"
"1986-07-01","2851.4560000000001"
"1986-10-01","2917.201"
"1986-12-31","2952.8069999999998"
"1987-03-31","2983.5129999999999"
"1987-07-01","3053.3299999999999"
"1987-10-01","3117.3580000000002"
"1987-12-31","3150.9160000000002"
"1988-03-31","3231.8960000000002"
"1988-07-01","3291.7159999999999"
"1988-10-01","3361.8989999999999"
"1988-12-31","3434.5390000000002"
"1989-03-31","3490.172"
"1989-07-01","3553.7669999999998"
"1989-10-01","3609.3989999999999"
"1989-12-31","3653.692"
