"Date","DPI"
"1947-03-31","170.548"
"1947-07-01","170.245"
"1947-10-01","178.047"
"1947-12-31","179.916"
"1948-03-31","185.29499999999999"
"1948-07-01","193.02500000000001"
"1948-10-01","199.178"
"1948-12-31","199.673"
"1949-03-31","194.22"
"1949-07-01","193.99100000000001"
"1949-10-01","194.108"
"1949-12-31","195.03399999999999"
"1950-03-31","209.69800000000001"
"1950-07-01","210.065"
"1950-10-01","217.14500000000001"
"1950-12-31","222.38399999999999"
"1951-03-31","229.715"
"1951-07-01","236.73699999999999"
"1951-10-01","239.75700000000001"
"1951-12-31","242.499"
"1952-03-31","243.40799999999999"
"1952-07-01","246.447"
"1952-10-01","253.05699999999999"
"1952-12-31","258.904"
"1953-03-31","262.96800000000002"
"1953-07-01","266.79899999999998"
"1953-10-01","266.95699999999999"
"1953-12-31","267.21699999999998"
"1954-03-31","269.93099999999998"
"1954-07-01","269.81999999999999"
"1954-10-01","271.77800000000002"
"1954-12-31","276.71300000000002"
"1955-03-31","282.10300000000001"
"1955-07-01","288.63099999999997"
"1955-10-01","295.10700000000003"
"1955-12-31","299.35399999999998"
"1956-03-31","303.61599999999999"
"1956-07-01","308.55099999999999"
"1956-10-01","313.18200000000002"
"1956-12-31","319.89400000000001"
"1957-03-31","323.78899999999999"
"1957-07-01","328.14499999999998"
"1957-10-01","332.48200000000003"
"1957-12-31","331.97399999999999"
"1958-03-31","333.10399999999998"
"1958-07-01","336.02800000000002"
"1958-10-01","343.66800000000001"
"1958-12-31","348.81099999999998"
"1959-03-31","353.22199999999998"
"1959-07-01","360.37700000000001"
"1959-10-01","362.06200000000001"
"1959-12-31","366.63400000000001"
"1960-03-31","371.35899999999998"
"1960-07-01","375.71499999999997"
"1960-10-01","377.84699999999998"
"1960-12-31","379.358"
"1961-03-31","383.65300000000002"
"1961-07-01","389.43200000000002"
"1961-10-01","396.02999999999997"
"1961-12-31","404.18599999999998"
"1962-03-31","409.93299999999999"
"1962-07-01","415.82600000000002"
"1962-10-01","419.178"
"1962-12-31","424.19299999999998"
"1963-03-31","429.10700000000003"
"1963-07-01","433.73899999999998"
"1963-10-01","440.601"
"1963-12-31","449.43700000000001"
"1964-03-31","460.392"
"1964-07-01","473.83800000000002"
"1964-10-01","481.58699999999999"
"1964-12-31","488.67500000000001"
"1965-03-31","496.01999999999998"
"1965-07-01","504.149"
"1965-10-01","519.86300000000006"
"1965-12-31","531.95600000000002"
"1966-03-31","541.375"
"1966-07-01","547.24199999999996"
"1966-10-01","558.16499999999996"
"1966-12-31","569.06100000000004"
"1967-03-31","579.322"
"1967-07-01","586.69600000000003"
"1967-10-01","597.75199999999995"
"1967-12-31","607.27999999999997"
"1968-03-31","623.95399999999995"
"1968-07-01","640.68799999999999"
"1968-10-01","649.38900000000001"
"1968-12-31","661.66600000000005"
"1969-03-31","669.75599999999997"
"1969-07-01","684.95000000000005"
"1969-10-01","707.48000000000002"
"1969-12-31","721.13699999999994"
"1970-03-31","737.16800000000001"
"1970-07-01","754.51999999999998"
"1970-10-01","774.02200000000005"
"1970-12-31","782.18600000000004"
"1971-03-31","805.32799999999997"
"1971-07-01","826.35000000000002"
"1971-10-01","838.80799999999999"
"1971-12-31","853.83199999999999"
"1972-03-31","866.75400000000002"
"1972-07-01","880.81500000000005"
"1972-10-01","905.84299999999996"
"1972-12-31","949.86099999999999"
"1973-03-31","968.678"
"1973-07-01","995.67899999999997"
"1973-10-01","1018.4299999999999"
"1973-12-31","1050.7"
"1974-03-31","1064.0350000000001"
"1974-07-01","1083.9849999999999"
"1974-10-01","1114.191"
"1974-12-31","1140.8689999999999"
"1975-03-31","1160.434"
"1975-07-01","1228.8869999999999"
"1975-10-01","1233.6469999999999"
"1975-12-31","1264.165"
"1976-03-31","1293.6099999999999"
"1976-07-01","1311.8989999999999"
"1976-10-01","1342.259"
"1976-12-31","1372.1400000000001"
"1977-03-31","1400.0160000000001"
"1977-07-01","1437.3299999999999"
"1977-10-01","1479.1969999999999"
"1977-12-31","1528.8800000000001"
"1978-03-31","1566.088"
"1978-07-01","1615.146"
"1978-10-01","1656.3099999999999"
"1978-12-31","1698.742"
"1979-03-31","1751.557"
"1979-07-01","1783.1990000000001"
"1979-10-01","1836.048"
"1979-12-31","1884.3779999999999"
"1980-03-31","1948.375"
"1980-07-01","1978.5940000000001"
"1980-10-01","2047.0350000000001"
"1980-12-31","2125.7890000000002"
"1981-03-31","2177.067"
"1981-07-01","2215.4670000000001"
"1981-10-01","2300.1199999999999"
"1981-12-31","2337.0140000000001"
"1982-03-31","2372.1840000000002"
"1982-07-01","2409.8029999999999"
"1982-10-01","2460.346"
"1982-12-31","2496.5369999999998"
"1983-03-31","2542.2710000000002"
"1983-07-01","2583.8339999999998"
"1983-10-01","2656.7719999999999"
"1983-12-31","2732.4659999999999"
"1984-03-31","2815.0630000000001"
"1984-07-01","2888.212"
"1984-10-01","2948.5219999999999"
"1984-12-31","2991.25"
"1985-03-31","3019.2190000000001"
"1985-07-01","3104.431"
"1985-10-01","3120.1509999999998"
"1985-12-31","3176.5120000000002"
"1986-03-31","3242.404"
"1986-07-01","3279.7269999999999"
"1986-10-01","3315.453"
"1986-12-31","3335.9659999999999"
"1987-03-31","3392.2860000000001"
"1987-07-01","3389.5949999999998"
"1987-10-01","3483.1289999999999"
"1987-12-31","3563.8690000000001"
"1988-03-31","3651.096"
"1988-07-01","3733.6329999999998"
"1988-10-01","3818.096"
"1988-12-31","3893.4949999999999"
"1989-03-31","3980.8780000000002"
"1989-07-01","4021.3339999999998"
